Country, Year,Week,Received/ collected,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (Total),B (Yamagata lineage),B (Victoria lineage),B (lineage not determined),B (Total),Total number of influenza positive viruses,ILI activity
United Kingdom of Great Britain and Northern Ireland,1995,41,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,42,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,43,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,44,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,45,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,46,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,47,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,48,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,49,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,50,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,51,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,52,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,2,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,3,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,4,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,5,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,6,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,7,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,8,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,9,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,10,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,11,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,12,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,13,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,14,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,15,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,16,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,17,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,19,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,20,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,21,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,22,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,23,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,25,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,29,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,30,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,31,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,32,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,37,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,38,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,39,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,40,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,41,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,42,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,43,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,44,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,45,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,46,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,47,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,48,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,49,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,50,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,51,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1996,52,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,1,,,,31,,11,42,,,5,5,47,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1997,2,,,,50,,,50,,,5,5,55,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1997,3,,,,87,,15,102,,,22,22,124,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1997,4,,,,48,,,48,,,29,29,77,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1997,5,,0,,79,,,79,,,58,58,137,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,1997,6,,,,46,,,46,,,83,83,129,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,1997,7,,,,14,,,14,,,44,44,58,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,1997,8,,,,9,,,9,,,101,101,110,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,9,,,,4,,,4,,,28,28,32,No Report
United Kingdom of Great Britain and Northern Ireland,1997,10,,0,,1,,,1,,,30,30,31,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,11,,0,,0,,,0,,,14,14,14,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,12,,0,,1,,0,1,,,16,16,17,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,13,,0,,0,,0,0,,,1,1,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,14,,0,,2,,0,2,,,1,1,3,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,15,,1,,,,,1,,,1,1,2,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,16,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1997,17,,,,,,,,,,4,4,4,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,19,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,20,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,21,,1,,,,,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,22,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,23,,1,,,,,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,25,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,29,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,30,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,31,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,32,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,35,,3,,,,,3,,,1,1,4,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,37,,1,,,,,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,38,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,39,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,40,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1997,41,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1997,42,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1997,43,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,44,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,45,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1997,46,,1,,,,,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,47,,,,,,,,,,1,1,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,48,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1997,49,,,,2,,,2,,,,,2,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,50,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,51,,7,,0,,,7,,,,,7,Sporadic
United Kingdom of Great Britain and Northern Ireland,1997,52,,6,,1,,,7,,,,,7,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,1,,7,,1,,,8,,,,,8,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,2,,8,,1,,,9,,,,,9,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,3,,8,,3,,,11,,,,,11,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,4,,15,,4,,,19,,,,,19,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,5,,26,,28,,0,54,,,,,54,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,6,,20,,23,,0,43,,,,,43,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,7,,35,,41,,0,76,,,,,76,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,8,,42,,76,,0,118,,,,,118,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,9,,18,,29,,1,48,,,,,48,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,10,0,0,0,0,0,0,0,0,0,0,0,0,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,11,0,0,0,0,0,0,0,0,0,0,0,0,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,12,,6,,35,,,41,,,,,41,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,13,,,,27,,8,35,,,,,35,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,14,,9,,31,,,40,,,,,40,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,15,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,16,,6,,24,,,30,,,,,30,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,17,,0,,2,,,2,,,,,2,No Activity
United Kingdom of Great Britain and Northern Ireland,1998,18,,0,,5,,,5,,,,,5,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,19,,0,,0,,,0,,,,,0,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,20,,0,,8,,,8,,,,,8,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,21,,0,,4,,,4,,,,,4,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,22,,0,,4,,,4,,,,,4,No Activity
United Kingdom of Great Britain and Northern Ireland,1998,23,,0,,0,,,0,,,,,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,25,,1,,0,,,1,,,,,1,No Activity
United Kingdom of Great Britain and Northern Ireland,1998,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,29,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,30,,0,,0,,,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1998,31,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,32,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1998,37,,,,1,,,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,38,,,,,,,,,,1,1,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,39,,0,,0,,0,0,,,1,1,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,40,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1998,41,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1998,42,,0,,0,,0,0,,,,,0,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,43,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1998,44,,0,,0,,0,0,,,,,0,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,45,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1998,46,,,,6,,,6,,,,,6,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,47,,0,,1,,1,2,,,1,1,3,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,48,,,,6,,,6,,,1,1,7,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,49,,,,5,,,5,,,3,3,8,Sporadic
United Kingdom of Great Britain and Northern Ireland,1998,50,,,,25,,,25,,,4,4,29,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,51,,,,50,,,50,,,4,4,54,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,52,,0,,40,,0,40,,,2,2,42,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1998,53,,0,,80,,0,80,,,1,1,81,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,1,,0,,93,,0,93,,,6,6,99,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,2,,0,,108,,0,108,,,3,3,111,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,3,,0,,116,,0,116,,,3,3,119,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,4,,0,,89,,0,89,,,10,10,99,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,5,,0,,104,,0,104,,,9,9,113,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,6,,0,,38,,0,38,,,2,2,40,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,7,,0,,37,,0,37,,,13,13,50,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,8,,0,,22,,0,22,,,18,18,40,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,9,,0,,22,,0,22,,,24,24,46,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,10,,0,,11,,0,11,,,16,16,27,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,11,,0,,5,,0,5,,,20,20,25,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,12,,0,,5,,0,5,,,28,28,33,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,13,,0,,2,,0,2,,,2,2,4,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,14,,0,,2,,0,2,,,3,3,5,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,15,,0,,0,,0,0,,,8,8,8,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,16,,0,,1,,0,1,,,8,8,9,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,17,,0,,1,,0,1,,,4,4,5,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,18,,0,,0,,0,0,,,4,4,4,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,19,,0,,0,,0,0,,,2,2,2,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,20,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,21,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,22,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,23,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,24,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,25,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,26,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,27,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,28,,0,,0,,0,0,,,1,1,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,29,,0,,1,,0,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,30,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,31,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,32,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,33,,0,,0,,0,0,,,,,0,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,34,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,35,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,36,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,37,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,38,,0,,0,,0,0,,,,,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,39,,0,,1,,0,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,40,,0,,1,,0,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,41,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
United Kingdom of Great Britain and Northern Ireland,1999,42,,0,,3,,0,3,,,,,3,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,43,,0,,1,,0,1,,,,,1,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,44,,0,,3,,1,4,,,,,4,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,45,,1,,4,,0,5,,,,,5,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,46,,0,,14,,0,14,,,,,14,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,47,,0,,24,,0,24,,,,,24,Sporadic
United Kingdom of Great Britain and Northern Ireland,1999,48,,0,,28,,0,28,,,,,28,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,49,,0,,43,,0,43,,,,,43,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,50,,0,,111,,0,111,,,,,111,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,51,,0,,26,,0,26,,,,,26,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,1999,52,,0,,70,,0,70,,,3,3,73,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,2000,1,,0,,59,,0,59,,,4,4,63,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,2000,2,,2,,52,,0,54,,,,,54,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,2000,3,,0,,51,,0,51,,,7,7,58,Local Outbreak
